"pred_day","GRP1","GRP2","ophi_A_1up_cnt","ophi_A_1up_avg","ophi_B_2_4up_cnt","ophi_B_2_4up_avg","ophi_C_5_7up_cnt","ophi_C_5_7up_avg","ophi_D_8_12up_cnt","ophi_D_8_12up_avg","opcl_A_1up_cnt","opcl_A_1up_avg","opcl_B_2_4up_cnt","opcl_B_2_4up_avg","opcl_C_5_7up_cnt","opcl_C_5_7up_avg","opcl_D_8_12up_cnt","opcl_D_8_12up_avg","oplw_A_1up_cnt","oplw_A_1up_avg","oplw_B_2_4up_cnt","oplw_B_2_4up_avg","oplw_C_5_7up_cnt","oplw_C_5_7up_avg","oplw_D_8_12up_cnt","oplw_D_8_12up_avg"
"02-26 Day","RE_RANK","A1_5",100,3.9,100,13.6,100,39.4,100,37.4,100,2.9,100,9.8,100,25.9,80,26,0,-2.8,60,-0.4,80,4.7,80,7.1
"02-26 Day","RE_RANK","B6_10",100,3.5,100,16,100,42,80,70.4,100,1.6,100,9.5,80,26.9,80,57.9,0,-3.6,40,-0.5,80,6,60,12.3
"02-26 Day","RE_RANK","C11_15",100,5.4,100,23.9,100,50.5,100,110.4,100,3.8,100,14.2,100,41.8,100,81.6,0,-2.9,75,1,50,8.7,50,26.1
"02-26 Day","RE_RANK","D16_20",100,3.6,100,21.6,100,33.9,100,66,100,2.8,100,13.9,100,28.6,100,50.3,0,-3.8,60,0.5,100,9.7,100,15.2
"02-26 Day","RE_RANK","Z21~all",98.9,3.4,100,19.3,100,33.7,98.9,47.5,83.9,2.2,97.8,12.9,100,27.7,97.8,37.5,0,-3.6,28,-1.4,90.3,8.9,88.2,12.8
"02-26 Day","RE_RANK_UP","A1_5",100,3.9,100,13.6,100,39.4,100,37.4,100,2.9,100,9.8,100,25.9,80,26,0,-2.8,60,-0.4,80,4.7,80,7.1
"02-26 Day","RE_RANK_UP","B6_10",100,5,100,14.4,100,24.5,80,67.4,100,3,100,8.3,80,19.6,80,54.6,0,-3.9,60,0.2,60,2.9,40,5.4
"02-26 Day","RE_RANK_UP","C11_15",100,3.2,100,18.7,100,47.1,100,60.1,100,2,100,10.6,100,27.6,100,44.3,0,-2.6,50,0.3,75,7.6,75,11.4
"02-26 Day","RE_RANK_UP","D16_20",100,4.7,100,31.5,100,54,100,107.8,100,3.7,100,20.7,100,46.6,100,82.1,0,-3.7,80,0.6,100,15.9,100,33.9
"02-26 Day","RE_RANK_UP","Z21~all",98.9,3.3,100,19.1,100,33.8,98.9,47.6,83.9,2.2,97.8,12.7,100,27.7,97.8,37.5,0,-3.6,26.9,-1.4,90.3,8.8,88.2,12.8
"02-27 Day","NO_UP_HIGH1","A1_5",100,4.4,100,15.5,100,41.8,80,33.6,80,0.7,100,12,80,27.6,80,25.7,0,-2,20,-2.7,80,6.3,60,7.1
"02-27 Day","NO_UP_HIGH1","B6_10",100,6.3,100,28.1,100,75.6,100,92.4,80,4.1,100,24.7,100,68.7,100,66,0,-1.5,40,0.6,100,17.6,80,38.3
"02-27 Day","NO_UP_HIGH1","C11_15",100,2.7,100,18.8,100,30.6,100,62.1,80,0.9,100,16.7,100,23.8,100,48.7,0,-2.1,0,-2.2,80,7.8,80,11.1
"02-27 Day","NO_UP_HIGH1","D16_20",100,2.9,100,21.4,100,46.5,100,62.6,100,1.6,100,15.1,100,39.4,100,44.6,0,-1.1,20,-0.4,100,10.4,100,23.2
"02-27 Day","NO_UP_HIGH1","Z21~all",96.7,3.6,100,21.5,98.9,34.6,97.8,43.4,69.6,0.4,94.6,17.5,97.8,26.9,95.7,33.6,0,-2.8,28.3,-2.4,84.8,7.7,78.3,10.4
"02-27 Day","NO_UP_HIGH16","A1_5",100,2.8,100,15,100,30.6,80,29.1,60,-0.2,100,11.1,80,20.5,80,19.2,0,-2.2,20,-2.2,80,5.6,40,4.5
"02-27 Day","NO_UP_HIGH16","B6_10",100,3.3,100,20.1,100,34.3,100,63.8,100,2.2,100,16.8,100,28.5,100,47.7,0,-1.4,20,-2.6,100,7.9,100,12.3
"02-27 Day","NO_UP_HIGH16","C11_15",100,2.5,100,21.7,100,30.1,100,36.3,40,0.3,100,15.9,100,20.5,100,31.9,0,-2.1,0,-2.4,80,7.3,100,9.7
"02-27 Day","NO_UP_HIGH16","D16_20",100,4.5,100,31.5,100,77.1,100,101.5,80,2.6,100,28.2,100,71.4,100,72.6,0,-1.6,40,0.6,100,20.1,80,41.4
"02-27 Day","NO_UP_HIGH16","Z21~all",96.7,3.8,100,21.3,98.9,35.8,97.8,44.5,72.8,0.5,94.6,17.3,97.8,27.9,95.7,34.4,0,-2.8,28.3,-2.3,84.8,7.7,78.3,11
"02-27 Day","RE_RANK","A1_5",100,3.2,100,13.8,100,33.7,100,60.5,100,1.1,100,13.1,100,25.1,100,42.9,0,-1.6,20,-2.8,100,6.6,80,11.1
"02-27 Day","RE_RANK","B6_10",100,4.4,100,13.1,100,25.2,80,28,80,1.6,100,9.4,80,20.6,80,18.1,0,-1.7,40,-0.5,80,3.5,60,3.7
"02-27 Day","RE_RANK","C11_15",100,6.7,100,35.6,100,89.9,100,113.1,100,4.3,100,30.3,100,81.1,100,83.3,0,-1.5,25,-0.5,75,19.4,75,45.6
"02-27 Day","RE_RANK","D16_20",100,2.3,100,23.1,100,45.2,100,55.4,80,0.7,100,19.7,100,30.4,100,37.8,0,-1.8,0,-2.1,80,12.7,80,14.8
"02-27 Day","RE_RANK","Z21~all",96.8,3.6,100,21.6,98.9,35.2,97.8,43.8,68.8,0.4,94.6,17.4,97.8,27.6,95.7,34.3,0,-2.8,28,-2.4,86,7.8,79.6,11
"02-27 Day","RE_RANK_UP","A1_5",100,3.2,100,13.8,100,33.7,100,60.5,100,1.1,100,13.1,100,25.1,100,42.9,0,-1.6,20,-2.8,100,6.6,80,11.1
"02-27 Day","RE_RANK_UP","B6_10",100,4.1,100,17.7,100,33,80,35.6,80,1.4,100,13.8,80,26.6,80,23.7,0,-1.9,20,-1.6,80,5.4,80,7.7
"02-27 Day","RE_RANK_UP","C11_15",100,3.8,100,20.9,100,28.3,100,56.1,100,2.6,100,15.8,100,25.1,100,35.8,0,-1.2,25,-0.6,100,7.5,75,11
"02-27 Day","RE_RANK_UP","D16_20",100,5.8,100,30.6,80,69.9,100,95.4,60,1.7,80,24.1,80,61.8,100,71.5,0,-2.2,20,-1.2,60,14.9,60,34.9
"02-27 Day","RE_RANK_UP","Z21~all",96.8,3.6,100,21.6,100,36.1,97.8,43.7,69.9,0.4,95.7,17.6,98.9,28,95.7,34.3,0,-2.8,28,-2.3,86,8.1,79.6,11.2
"02-28 Day","NO_UP_HIGH1","A1_5",100,9.6,100,21.4,100,39.4,100,32.4,100,6.6,100,18.2,100,25.4,100,28.5,0,-3.1,40,3.6,80,4.4,80,10.7
"02-28 Day","NO_UP_HIGH1","B6_10",100,6,100,19.1,100,45.2,100,47.8,100,3.3,80,15.3,100,35.3,100,29.2,0,-2.5,80,1.1,60,1.6,60,12.6
"02-28 Day","NO_UP_HIGH1","C11_15",100,4.5,100,24.4,100,27.4,100,40.7,100,2.4,100,20.8,100,22.7,100,34.4,0,-2.2,80,0.7,100,8.1,100,9.6
"02-28 Day","NO_UP_HIGH1","D16_20",100,4.7,100,18.1,100,32.7,100,37.4,100,2.2,100,16.9,100,22,100,29.1,0,-3.1,60,0.1,60,5.8,60,10.3
"02-28 Day","NO_UP_HIGH1","Z21~all",100,9.1,100,31.2,98.9,42.8,98.9,43.2,91.3,5.4,98.9,25.1,95.7,31.1,96.7,35.6,0,-2.8,60.9,2.4,79.3,8.4,82.6,14.1
"02-28 Day","NO_UP_HIGH16","A1_5",100,8.6,100,22.4,100,38.6,100,56.8,100,4.1,100,20.1,100,31.2,100,36,0,-1.6,80,1.7,80,7.8,80,18.9
"02-28 Day","NO_UP_HIGH16","B6_10",100,10.9,100,16.7,80,24.7,80,23,80,6.6,80,10.9,60,15.8,80,19.4,0,-3.3,20,2.1,40,-4.5,40,0.6
"02-28 Day","NO_UP_HIGH16","C11_15",100,5,100,19.7,100,50.7,100,58.3,100,2,100,16.9,100,39.3,100,36.8,0,-2.6,80,0.6,100,4.8,100,17.8
"02-28 Day","NO_UP_HIGH16","D16_20",100,9.8,100,16.6,100,25.5,100,20.6,100,5,80,12.9,100,15.4,100,17.7,0,-2.5,60,2.1,60,0.8,40,0.7
"02-28 Day","NO_UP_HIGH16","Z21~all",100,8.6,100,31.6,100,43.1,100,43.2,92.4,5.3,100,25.7,97.8,31.3,97.8,36.3,0,-2.9,62,2.3,80.4,9,84.8,14.4
"02-28 Day","RE_RANK","A1_5",100,5.2,100,16.1,100,40.9,100,54.1,100,2,80,13,100,33.6,100,30.4,0,-3.2,60,-0.4,60,-0.3,60,12.9
"02-28 Day","RE_RANK","B6_10",100,12.9,100,23.3,100,37,100,32.2,100,7.1,100,17.8,100,23.8,100,27.1,0,-1.5,75,4.2,50,6.7,50,8.1
"02-28 Day","RE_RANK","C11_15",100,35.5,100,74.7,100,55.3,80,49.2,100,27.5,100,56.3,80,42.3,80,32.9,0,-1.7,40,18.1,60,15.8,60,12.3
"02-28 Day","RE_RANK","D16_20",100,4,100,35.5,100,26.1,100,25.7,80,1.7,100,20.9,100,20.4,100,22.2,0,-4.4,40,-0.1,80,5.7,80,6.7
"02-28 Day","RE_RANK","Z21~all",100,7.4,100,27.6,98.9,42,100,42.9,92.5,4.2,98.9,23.1,96.8,30.2,97.8,36,0,-2.8,63.4,1.5,81.7,7.9,84.9,14.2
"02-28 Day","RE_RANK_UP","A1_5",100,5.2,100,16.1,100,40.9,100,54.1,100,2,80,13,100,33.6,100,30.4,0,-3.2,60,-0.4,60,-0.3,60,12.9
"02-28 Day","RE_RANK_UP","B6_10",100,17.1,100,28.7,100,43.6,100,39.2,100,11.9,100,20.2,100,31.7,100,33.8,0,-1.4,75,8.1,75,9.4,75,16.3
"02-28 Day","RE_RANK_UP","C11_15",100,37.8,100,76.1,100,57.9,80,52.8,100,29,100,57.4,80,43.8,80,35.1,0,-1.4,60,19.1,60,17.3,60,12.6
"02-28 Day","RE_RANK_UP","D16_20",100,4.9,100,30.5,80,19,100,21.5,80,2.1,80,16.5,80,14.1,100,18.4,0,-4.1,40,-0.6,40,-1.2,40,0.6
"02-28 Day","RE_RANK_UP","Z21~all",100,7.1,100,27.5,100,41.9,100,42.6,92.5,3.9,100,23.1,97.8,30.1,97.8,35.8,0,-2.9,62.4,1.3,82.8,8.1,86,14.2
"02-29 Day","NO_UP_HIGH1","A1_5",100,6,100,17.3,100,24.6,100,21.5,80,1.9,100,11.5,100,15.3,100,16.4,0,-2.2,60,-0.1,40,0.4,100,9.2
"02-29 Day","NO_UP_HIGH1","B6_10",100,6.4,100,19.6,100,34.7,100,37.8,80,3.1,100,17.7,100,28.2,100,29,0,-1.5,80,1.5,80,3.4,100,18.7
"02-29 Day","NO_UP_HIGH1","C11_15",100,9.8,100,28.2,80,32.9,80,26.8,80,3,80,18.1,80,23.1,80,22.9,0,-2.6,80,1.2,60,2.8,80,15.8
"02-29 Day","NO_UP_HIGH1","D16_20",100,8.9,100,25.8,100,31,100,30.2,100,4.8,100,17.6,100,23.6,100,25,0,-1.3,100,3.1,100,7.4,100,17.2
"02-29 Day","NO_UP_HIGH1","Z21~all",100,11,100,26,96.8,36,97.8,34.4,79.6,4.5,94.6,19.7,94.6,26.3,94.6,28.9,0,-2.5,67.7,1.1,74.2,5.3,90.3,18.2
"02-29 Day","NO_UP_HIGH16","A1_5",100,6.5,100,9.6,60,14,80,11.7,40,-0.8,60,5.4,60,4.5,80,8.2,0,-3.3,20,-4.2,20,-8.4,60,0.2
"02-29 Day","NO_UP_HIGH16","B6_10",100,14.3,100,30.1,100,53.1,100,36.1,100,5.7,100,24.9,100,38.3,100,31.7,0,-1.6,100,4.1,80,9.4,100,22.6
"02-29 Day","NO_UP_HIGH16","C11_15",100,8.3,100,21.9,100,27.6,100,27.7,80,2.4,100,19.4,100,23.4,100,23.6,0,-1.6,80,1.8,80,5.3,80,16.3
"02-29 Day","NO_UP_HIGH16","D16_20",100,8,100,38.5,100,25.2,100,33.7,80,3.4,100,22.2,100,20.3,100,26.5,0,-2.1,60,2.2,60,5.2,100,16.1
"02-29 Day","NO_UP_HIGH16","Z21~all",100,10.7,100,25.5,97.8,36.2,97.8,34.9,81.5,4.6,95.7,19.3,95.7,26.5,94.6,29.1,0,-2.4,70.7,1.1,76.1,5.4,92.4,18.6
"02-29 Day","RE_RANK","A1_5",100,6.8,100,15.8,75,57.6,100,37.3,75,2.2,75,12.7,75,37.2,100,31.2,0,-2.1,75,-0.4,75,2.4,75,18.6
"02-29 Day","RE_RANK","B6_10",100,4.5,100,11.1,60,6.5,80,7.9,40,-1.2,60,6,60,2.5,80,5.3,0,-3.5,20,-4.7,0,-10,60,-1.4
"02-29 Day","RE_RANK","C11_15",100,6.9,100,16.9,100,15.7,100,18.5,80,2.2,100,11.1,100,11.3,100,14.9,0,-2.2,40,0.3,40,-2.9,80,6.8
"02-29 Day","RE_RANK","D16_20",100,11.9,100,37,100,27.4,100,25.9,100,5.3,100,23.4,100,19.3,100,21.6,0,-2.3,80,2.7,80,5.7,100,15.1
"02-29 Day","RE_RANK","Z21~all",100,11.1,100,26.5,98.9,37.2,97.8,35.9,81.7,4.7,96.8,20.3,96.8,27.5,94.6,30.1,0,-2.4,73.1,1.4,78.5,6.2,93.5,19.4
"02-29 Day","RE_RANK_UP","A1_5",100,6.8,100,15.8,75,57.6,100,37.3,75,2.2,75,12.7,75,37.2,100,31.2,0,-2.1,75,-0.4,75,2.4,75,18.6
"02-29 Day","RE_RANK_UP","B6_10",100,6.2,100,10.8,60,7.6,80,11.1,40,-0.5,60,5,60,2.6,80,7.6,0,-3.6,40,-4,20,-9.5,60,-0.7
"02-29 Day","RE_RANK_UP","C11_15",100,5.3,100,16.1,100,17.9,100,12.5,80,2.8,100,13.8,100,11.6,100,10.6,0,-1.8,40,0.7,40,-1.4,60,6
"02-29 Day","RE_RANK_UP","D16_20",100,16.7,100,33.5,100,27,100,25.1,100,5.6,100,25.6,100,19.9,100,22.9,0,-1.7,60,3.3,60,7.3,100,15.4
"02-29 Day","RE_RANK_UP","Z21~all",100,10.8,100,26.7,98.9,37,97.8,36.1,81.7,4.6,96.8,20.1,96.8,27.4,94.6,30.1,0,-2.4,73.1,1.4,78.5,6.1,94.6,19.4
"03-01 Day","NO_UP_HIGH1","A1_5",100,7.7,100,17.7,100,22.6,100,20.7,100,5.9,100,11.1,100,16.5,100,16.7,0,-0.4,20,-1.7,40,-1.8,100,10.5
"03-01 Day","NO_UP_HIGH1","B6_10",100,6.1,80,12,80,19.1,80,10,80,0.1,80,4.5,80,7.9,60,5.5,0,-6.1,0,-10.2,0,-15.4,60,-0.3
"03-01 Day","NO_UP_HIGH1","C11_15",100,6.6,100,18.6,100,22.2,100,18.7,100,5.5,100,12.6,100,17.2,75,15.2,0,-0.4,25,-2.2,75,-1.9,75,11
"03-01 Day","NO_UP_HIGH1","D16_20",100,11.8,100,16.6,80,15.6,80,14.3,100,6,100,9.7,80,10.6,80,11.2,0,-0.7,20,-2.9,20,-5.4,80,7
"03-01 Day","NO_UP_HIGH1","Z21~all",100,9.3,98.9,26.8,96.8,34.8,96.8,28.5,98.9,7.3,95.7,19.6,94.6,24.3,94.6,24.1,0,-1.3,37.6,-0.5,51.6,4,93.5,17.6
"03-01 Day","NO_UP_HIGH16","A1_5",100,7.4,100,15.1,80,21.1,80,14,100,5.1,100,10.2,80,13,80,10.9,0,-0.9,40,-3,40,-5.7,80,6.6
"03-01 Day","NO_UP_HIGH16","B6_10",100,9.6,100,12.2,100,13.3,100,10.8,100,7.4,100,9.4,80,9.2,100,8.7,0,-0.6,20,-1.4,0,-6.8,80,4.7
"03-01 Day","NO_UP_HIGH16","C11_15",100,11.5,100,22.7,100,51.4,100,24.2,100,8.5,100,14.6,100,33.9,100,21.6,0,-0.4,25,-1.3,50,1.7,100,16.8
"03-01 Day","NO_UP_HIGH16","D16_20",100,6.4,100,18.6,100,12.3,100,12.1,100,4.7,100,11.3,100,9.3,80,8,0,-0.6,0,-1.6,20,-3.5,80,4.3
"03-01 Day","NO_UP_HIGH16","Z21~all",100,9.2,97.8,26.7,95.7,34.1,95.7,28.7,97.8,6.9,94.6,19.2,94.6,23.8,92.5,24.1,0,-1.5,36.6,-1,52.7,3.5,92.5,17.4
"03-01 Day","RE_RANK","A1_5",100,5.2,100,13.4,100,19.5,100,13.4,100,4.2,100,8.5,100,12.1,100,10.3,0,-0.6,20,-2.6,20,-6.7,100,5.7
"03-01 Day","RE_RANK","B6_10",100,14,100,17.6,100,20.2,100,16,100,10.5,100,13.6,75,14.3,100,13.6,0,-0.8,50,-0.4,25,-3.3,75,9.5
"03-01 Day","RE_RANK","C11_15",100,7.5,80,10.5,60,30.9,60,13.4,80,1.6,80,5.8,60,17.1,60,8.4,0,-6.4,0,-11,40,-11.4,60,2.4
"03-01 Day","RE_RANK","D16_20",100,9.5,100,11.2,80,10.1,80,11.8,100,5.8,80,5.7,80,7.2,60,6.7,0,-0.5,0,-5.8,20,-7,60,2.9
"03-01 Day","RE_RANK","Z21~all",100,9.2,98.9,27.5,97.8,34.7,97.8,28.9,98.9,7.1,96.8,19.9,96.8,24.3,94.6,24.6,0,-1.2,37.6,-0.3,52.7,4.2,94.6,18
"03-01 Day","RE_RANK_UP","A1_5",100,5.2,100,13.4,100,19.5,100,13.4,100,4.2,100,8.5,100,12.1,100,10.3,0,-0.6,20,-2.6,20,-6.7,100,5.7
"03-01 Day","RE_RANK_UP","B6_10",100,10.7,100,17,75,17.8,75,17.5,100,8.4,100,14.5,75,13.2,75,14.2,0,-0.8,25,-2.7,50,-2.1,75,8.2
"03-01 Day","RE_RANK_UP","C11_15",100,9.7,80,7.4,80,5.2,80,2.9,80,2.4,80,1.9,60,-1.2,60,-2,0,-6.2,20,-9.9,0,-17.6,40,-5.6
"03-01 Day","RE_RANK_UP","D16_20",100,11.2,100,13.6,80,38.8,80,21.9,100,6.8,80,9.1,80,27,80,17.7,0,-0.7,0,-4.9,40,-2.2,80,13.1
"03-01 Day","RE_RANK_UP","Z21~all",100,9.1,98.9,27.5,97.8,34.6,97.8,28.9,98.9,7.1,96.8,19.9,96.8,24.3,94.6,24.5,0,-1.2,37.6,-0.3,52.7,4.2,94.6,17.9
"03-02 Day","NO_UP_HIGH1","A1_5",100,1.7,100,25.3,80,32.8,NA,NA,60,0.7,60,19.4,60,14.3,NA,NA,0,-2.7,0,-12.7,40,-1.1,NA,NA
"03-02 Day","NO_UP_HIGH1","B6_10",100,3.1,80,12.2,80,8.6,NA,NA,60,1.6,60,2.9,80,4.9,NA,NA,0,-3,0,-11.3,0,-10,NA,NA
"03-02 Day","NO_UP_HIGH1","C11_15",100,15,100,26.6,100,18.2,NA,NA,100,12.2,100,14.6,100,15.8,NA,NA,0,-1.8,25,-2,25,-0.1,NA,NA
"03-02 Day","NO_UP_HIGH1","D16_20",100,8.6,100,15.2,80,19.7,NA,NA,60,5.7,100,8.4,80,13.1,NA,NA,0,-2.5,20,-8.2,20,-6.2,NA,NA
"03-02 Day","NO_UP_HIGH1","Z21~all",96.8,8,93.6,21,89.4,22.3,NA,NA,79.8,4.4,84,11.3,88.3,16.2,NA,NA,0,-3.3,8.5,-7.2,27.7,-2.2,NA,NA
"03-02 Day","NO_UP_HIGH16","A1_5",100,1.2,80,5.7,60,4.9,NA,NA,40,0.2,40,-1.4,60,2.5,NA,NA,0,-2.8,0,-14.6,0,-13.5,NA,NA
"03-02 Day","NO_UP_HIGH16","B6_10",100,5.7,100,9.9,100,13.5,NA,NA,80,4.3,100,3.9,100,9.2,NA,NA,0,-2.8,0,-8.1,0,-6.9,NA,NA
"03-02 Day","NO_UP_HIGH16","C11_15",100,2.9,100,35.1,100,45.6,NA,NA,50,1,75,26.6,100,20.3,NA,NA,0,-4,0,-10.4,25,1.6,NA,NA
"03-02 Day","NO_UP_HIGH16","D16_20",100,3.2,80,6.4,60,3.3,NA,NA,60,1.8,80,1.5,40,1.1,NA,NA,0,-2.5,0,-11.7,0,-11.7,NA,NA
"03-02 Day","NO_UP_HIGH16","Z21~all",96.8,8.6,94.7,22.2,90.4,23.2,NA,NA,81.9,5,85.1,12.2,89.4,17,NA,NA,0,-3.2,10.6,-6.7,30.9,-1.5,NA,NA
"03-02 Day","RE_RANK","A1_5",100,1.3,75,6.4,75,6.8,NA,NA,25,0,50,-1.2,75,4,NA,NA,0,-2.9,0,-14.6,0,-13.3,NA,NA
"03-02 Day","RE_RANK","B6_10",100,1.8,80,4.6,60,6.6,NA,NA,40,-0.7,40,0.2,60,2.7,NA,NA,0,-4.6,0,-15.2,0,-13.4,NA,NA
"03-02 Day","RE_RANK","C11_15",100,3.5,100,7.7,80,5.2,NA,NA,80,3,100,2.2,60,1.9,NA,NA,0,-2.3,0,-10.9,0,-10.2,NA,NA
"03-02 Day","RE_RANK","D16_20",100,10.7,100,27,80,21.7,NA,NA,60,4.1,80,17.2,80,14,NA,NA,0,-7.8,20,-6.5,20,-5.9,NA,NA
"03-02 Day","RE_RANK","Z21~all",96.8,8.4,94.7,22.6,91.5,24.3,NA,NA,83,5,86.2,12.5,90.4,17.4,NA,NA,0,-2.9,9.6,-6.6,30.9,-1,NA,NA
"03-02 Day","RE_RANK_UP","A1_5",100,1.3,75,6.4,75,6.8,NA,NA,25,0,50,-1.2,75,4,NA,NA,0,-2.9,0,-14.6,0,-13.3,NA,NA
"03-02 Day","RE_RANK_UP","B6_10",100,1.3,100,7,80,7.5,NA,NA,40,-0.3,60,1.9,60,3,NA,NA,0,-3.9,0,-13.7,0,-12.2,NA,NA
"03-02 Day","RE_RANK_UP","C11_15",100,4,80,5.2,60,4.3,NA,NA,80,2.6,80,0.5,60,1.5,NA,NA,0,-3,0,-12.5,0,-11.4,NA,NA
"03-02 Day","RE_RANK_UP","D16_20",100,4.7,100,17.8,80,8.6,NA,NA,80,-1.3,80,7.4,80,2.6,NA,NA,0,-7.1,0,-12.1,20,-11.1,NA,NA
"03-02 Day","RE_RANK_UP","Z21~all",96.8,8.7,94.7,23,91.5,25,NA,NA,81.9,5.3,86.2,13.1,90.4,18,NA,NA,0,-2.9,10.6,-6.3,30.9,-0.7,NA,NA
"03-03 Day","NO_UP_HIGH1","A1_5",80,2.5,60,3.9,60,6.7,NA,NA,20,-1.9,40,0.7,60,2.3,NA,NA,0,-9.2,0,-12.2,20,-3.9,NA,NA
"03-03 Day","NO_UP_HIGH1","B6_10",100,9.7,80,9.1,80,10.6,NA,NA,20,1.7,40,3.2,40,2.9,NA,NA,0,-7.8,0,-16,20,-9.1,NA,NA
"03-03 Day","NO_UP_HIGH1","C11_15",80,5,80,6.5,100,12.5,NA,NA,40,-0.1,60,2.9,100,7.6,NA,NA,0,-10.2,0,-12.1,40,-1.7,NA,NA
"03-03 Day","NO_UP_HIGH1","D16_20",60,5.6,100,28.2,100,17.5,NA,NA,20,-1.7,60,10.5,80,12.1,NA,NA,0,-8.3,0,-9.7,40,5.9,NA,NA
"03-03 Day","NO_UP_HIGH1","Z21~all",89.2,5.1,93.5,16.4,89.2,15.2,NA,NA,33.3,-0.1,81.7,8.6,84.9,10.6,NA,NA,0,-10,6.5,-8.9,51.6,2,NA,NA
"03-03 Day","NO_UP_HIGH16","A1_5",80,5.1,40,0.1,60,1.7,NA,NA,20,-1.9,0,-3.9,40,-0.3,NA,NA,0,-7.9,0,-15.2,0,-6.5,NA,NA
"03-03 Day","NO_UP_HIGH16","B6_10",100,13.5,100,12.4,80,16.5,NA,NA,60,6.4,80,7.2,60,7.1,NA,NA,0,-6.7,0,-14.4,40,-4.2,NA,NA
"03-03 Day","NO_UP_HIGH16","C11_15",80,2.7,100,3.7,80,7.4,NA,NA,20,-2.4,40,-1.7,60,4,NA,NA,0,-9.6,0,-12.9,20,-4.5,NA,NA
"03-03 Day","NO_UP_HIGH16","D16_20",100,2.5,80,32.1,80,16.5,NA,NA,40,-0.7,80,21.3,80,12.1,NA,NA,0,-7.7,20,-5.8,80,7.1,NA,NA
"03-03 Day","NO_UP_HIGH16","Z21~all",87.1,5,93.5,16.4,91.4,15.5,NA,NA,31.2,-0.3,81.7,8.3,87.1,10.8,NA,NA,0,-10.2,5.4,-9,50.5,1.9,NA,NA
"03-03 Day","RE_RANK","A1_5",80,5.1,40,0.1,60,1.7,NA,NA,20,-1.9,0,-3.9,40,-0.3,NA,NA,0,-7.9,0,-15.2,0,-6.5,NA,NA
"03-03 Day","RE_RANK","B6_10",100,13.9,100,11.8,100,20.2,NA,NA,60,6.6,80,6.6,80,10.3,NA,NA,0,-6.1,0,-14.6,40,-3.8,NA,NA
"03-03 Day","RE_RANK","C11_15",100,4,100,6,60,4,NA,NA,40,-0.7,60,1,40,1.2,NA,NA,0,-8.3,0,-11.7,40,-4.1,NA,NA
"03-03 Day","RE_RANK","D16_20",80,9.8,80,9.8,80,7.9,NA,NA,20,3.8,40,3.4,40,4.3,NA,NA,0,-9.9,20,-10.9,20,-1.9,NA,NA
